Brand,Name,Flavours,Country,Calories,Total Carbohydrates,Type of Carbohydrates,Glucose,Fructose,GCD,Carb ratio,Sodium,Potassium ,Chloride,Magnesium ,Caffeine,Serving Size,,Protein
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Apple,UK,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Pineapple ,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Lemon and Lime ,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Tropical ,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Orange,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Tutti Fruitti ,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (SiS) Isotonic Energy Fuel ,Cherry ,,87,22,Maltodextrin,,,,,4,0,0,0,0,60 mL,,
Science in Sport,Science in Sport (Sis) Nootropics Gel ,Apple ,UK,158,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,12,0,0,0,200,60 mL,,
Science in Sport,Science in Sport (Sis) Nootropics Gel ,Lemon Lime ,,158,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,12,0,0,0,200,60 mL,,
Science in Sport,Science in Sport (Sis) Caffeine Gels,Double Espresso + Caffeine ,UK,87,22,Maltodextrin,,,,,23,0,0,0,150,60 mL,,
Science in Sport,Science in Sport (Sis) Caffeine Gels,Berry  + Caffeine ,,85,21,Maltodextrin,,,,,0,0,0,0,75,60 mL,,
Science in Sport,Science in Sport (Sis) Caffeine Gels,Cola  Caffeine ,,85,21,Maltodextrin,,,,,10,0,0,0,75,60 mL,,
Styrkr,Styrkr gel 30 ,Unflavoured,UK,128,30,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,0,0,0,0,0,72 g,,
Styrkr,Styrkr gel 30 Nitrate+,Unflavoured,,147,30,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,12,0,0,0,0,72 g ,,
Styrkr,Styrkr gel 30 Caff+,Unflavoured,,128,30,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,0,0,0,0,150,72 g,,
Styrkr,Styrkr gel 50,Citrus Fruits ,,201,50,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,0,0,0,0,0,72 g,,
Styrkr,Styrkr gel 50,Mixed Berry ,,200,50,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,0,0,0,0,0,72 g,,
Torq ,Torq Gel,Strawberry Yoghurt ,UK,113,28,"Maltodextrin, Fructose ",2,1,1,2:1,56,24,220,1,0,45 g,,
Torq ,Torq Gel,Lemon Drizzle ,,114,29,"Maltodextrin, Fructose ",2,1,1,2:1,41,24,99,1,0,45 g,,
Torq ,Torq Gel,Apple Crumble ,,114,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,99,1,0,45 g,,
Torq ,Torq Gel,Rhubarb and Custard,,110,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,90,1,0,45 g,,
Torq ,Torq Gel,Orange and Banana ,,110,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,90,1,0,45 g,,
Torq ,Torq Gel,Raspberry Ripple ,,110,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,90,1,0,45 g,,
Torq ,Torq Gel,Banoffee + Caffeine ,,110,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,90,1,89,45 g,,
Torq ,Torq Gel,Caramel Latte + Caffeine ,,114,29,"Maltodextrin, Fructose ",2,1,1,2:1,56,24,99,1,89,45 g,,
Torq ,Torq Gel,Cola + Caffeine ,,116,29,"Maltodextrin, Fructose ",2,1,1,2:1,49,24,99,1,89,45 g,,
Torq ,Torq Gel,Black Cherry Yoghurt ,,113,28,"Maltodextrin, Fructose ",2,1,1,2:1,49,24,99,1,0,45 g,,
Torq ,Torq Gel,Cherry Bakewell ,,114,29,"Maltodextrin, Fructose ",2,1,1,2:1,49,24,99,1,0,45 g,,
Torq ,Torq Gel,Forest Fruits + Caffeine ,,113,28,"Maltodextrin, Fructose ",2,1,1,2:1,49,24,99,1,89,45 g,,
Torq ,Torq Gel,Naked ,,110,29,"Maltodextrin, Fructose ",2,1,1,2:1,50,10,90,1,0,45 g,,
Ucan ,UCan ,Pineapple,USA,80,20,LIVSTEADYª corn starch (glucose),,,,,0,0,0,0,0,53 g ,,
Ucan ,UCan ,Strawberry Banana ,,70,19,LIVSTEADYª corn starch (glucose),,,,,0,0,0,0,0,53 g ,,
Ucan ,UCan ,Orange ,,70,19,LIVSTEADYª corn starch (glucose),,,,,0,0,0,0,0,53 g ,,
Untapped,Untapped Maple Syrup Athletic Fuel,Maple Syrup,USA,100,26,"Sucrose, Glucose, Fructose ",,,,,5,82,0,0,0,28.4 ml ,,
Untapped,Untapped Maple Syrup Athletic Fuel,Coffee Infused Maple Syrup ,,100,26,"Sucrose, Glucose, Fructose ",,,,,11,80,0,0,27,30 ml,,
Untapped,Untapped Maple Syrup Athletic Fuel,Saled Raspberry ,,100,26,"Sucrose, Glucose, Fructose ",,,,,60,100,0,0,0,30 ml ,,
Untapped,Untapped Maple Syrup Athletic Fuel,Salted Cocoa Maple Syrup ,,100,26,"Sucrose, Glucose, Fructose ",,,,,60,85,0,0,0,30 ml ,,
Untapped,Untapped Maple Syrup Athletic Fuel,Salted Citrus ,,100,26,"Sucrose, Glucose, Fructose ",,,,,100,85,0,0,0,30 ml ,,
veloforte,Veloforte Desto Gel,Blackcurrant and Elderflower,,89,22,"Glucose, Fructose, Sucrose",,,,,120,26,0,7,0,,,
veloforte,Veloforte Desto Gel,Beetroot and Lemon ,,90,22,"Glucose, Fructose, Sucrose",,,,,120,27,0,7,0,,,
veloforte,Veloforte Desto Gel,"Dates, Lemon, and Ginger ",,89,22,"Glucose, Fructose, Sucrose",,,,,120,27,0,7,0,,,
veloforte,Veloforte Desto Gel,"Maple, Coffee, and Guarana + Caffeine ",,88,22,"Glucose, Fructose, Sucrose",,,,,120,27,0,7,75,,,
veloforte,Veloforte Desto Gel,Tart Cherry and Guarana + Caffeine ,,89,22,"Glucose, Fructose, Sucrose",,,,,120,20,0,7,75,,,
Victus ,Victus ,Lemon ,,180,45,"Maltodextrin, Fructose, Glucose ",,,,,340,0,522,0,0,66 mL,,
MORINAGAÊ,Weider in Jelly,Muscat,Japan,180,45,"Glucose, Fructose, Maltodextrin",,,,,0,0,0,0,0,180 g,,
Winzone ,Winzone Energy Gel,Orange + Caffeine ,Japan,115,29,"Maltodextrin, Fructose ",,,,,0,0,0,50,50,40 g,,
Winzone ,Winzone Energy Gel,Muscat,,115,29,"Maltodextrin, Fructose ",,,,,0,0,0,50,0,40 g,,
Winzone ,Winzone Energy Gel,Pineapple,,115,28.9,"Maltodextrin, Fructose ",,,,,0,0,0,50,0,40 g,,
Winzone ,Winzone Energy Gel,Shikuwasa ,,115,29,"Maltodextrin, Fructose ",,,,,0,0,0,50,0, 40 g,,
,,,,,,,,,,,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
